SongName,ArtistName,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,URL,cluster
Close To Me,Ellie Goulding,49,0.598,0.43,11,-11.236,1,0.0544,0.186,0.0,0.0924,0.0843,91.923,98508,https://i.scdn.co/image/ab67616d0000b2735f76dbd311a0782823550b30,0
Hope,The Chainsmokers,69,0.658,0.539,3,-7.043,1,0.0433,0.857,1.45e-06,0.0999,0.461,80.088,235297,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,0
Baarishein,Anuv Jain,80,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311,135747,https://i.scdn.co/image/ab67616d0000b273d8ca783fa570b57e082f4374,1
Why Did I Answer?,Porsche Love,0,0.879,0.574,10,-5.602,0,0.391,0.519,8.76e-06,0.144,0.346,144.911,243463,https://i.scdn.co/image/ab67616d0000b273bd789be8a2db43dd477b2db6,1
Baari,Bilal Saeed,62,0.432,0.612,11,-8.846,0,0.211,0.00185,0.0,0.308,0.253,88.716,205333,https://i.scdn.co/image/ab67616d0000b273aca529b2fdfaabf2f50fc9e3,1
Big Gangsta,Kevin Gates,81,0.817,0.775,10,-4.767,0,0.108,0.277,0.0,0.108,0.806,126.984,234334,https://i.scdn.co/image/ab67616d0000b273f8a9c2fe71ac2eb53524392b,2
Famous (I'm The One) (feat. Yo Gotti & DeJ Loaf),Mozzy,0,0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,216387,https://i.scdn.co/image/ab67616d0000b273486d0191ad02532ffd12d87c,1
Beware,Big Sean,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0.0,0.0972,0.19,94.42,207310,https://i.scdn.co/image/ab67616d0000b27373077b16706dbd3dca4b6948,0
The Thrill,Wiz Khalifa,95,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,https://i.scdn.co/image/ab67616d0000b2738f0412555b7e080fac2b825f,2
Dior,Pop Smoke,90,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867,https://i.scdn.co/image/ab67616d0000b2731a8c4618eda885a406958dd0,2
good 4 u,Olivia Rodrigo,91,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,137704,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,1
Kiss Me More (feat. SZA),Doja Cat,84,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,183624,https://i.scdn.co/image/ab67616d0000b273be841ba4bc24340152e3a79a,0
Butter,BTS,86,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,161385,https://i.scdn.co/image/ab67616d0000b273240447f2da1433d8f4303596,2
MONTERO (Call Me By Your Name),Lil Nas X,87,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,242096,https://i.scdn.co/image/ab67616d0000b273664034dd80e91b28f773598d,2
Arcade,Duncan Laurence,89,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,https://i.scdn.co/image/ab67616d0000b273a954408e456d4d9d410f448b,2
WITHOUT YOU,The Kid LAROI,91,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,198082,https://i.scdn.co/image/ab67616d0000b273a26cc58b4d64c2ece3376389,1
Leave The Door Open,Bruno Mars,92,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,https://i.scdn.co/image/ab67616d0000b273fcf75ead8a32ac0020d2ce86,2
Levitating (feat. DaBaby),Dua Lipa,90,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507,https://i.scdn.co/image/ab67616d0000b2732172b607853fa89cefa2beb4,1
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,85,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,227395,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,2
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637,https://i.scdn.co/image/ab67616d0000b273c6af5ffa661a365b77df6ef6,3
deja vu,Olivia Rodrigo,95,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,2
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637,https://i.scdn.co/image/ab67616d0000b27386a8ab515de4b7aef28cd631,3
Sygrayem (Let's Play),Carlos Rafael Rivera,74,0.572,0.759,2,-4.312,1,0.0506,0.127,0.0,0.224,0.519,80.95,163733,https://i.scdn.co/image/ab67616d0000b2735c31c2a42a670aef0c883c43,2
Our Song,Anne-Marie,82,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77e-05,0.347,0.866,102.931,122773,https://i.scdn.co/image/ab67616d0000b2736c46dd6e21c778948898c2c5,2
Leave Before You Love Me (with Jonas Brothers),Marshmello,85,0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111,183726,https://i.scdn.co/image/ab67616d0000b273ae40468931087f78919b86ce,2
Build a Bitch,Bella Poarch,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0.0,0.0972,0.19,94.42,207310,https://i.scdn.co/image/ab67616d0000b273aeeb722667c831a4f5429ff0,0
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,75,0.508,0.889,7,-2.755,0,0.0862,0.0495,0.0,0.0984,0.332,135.014,238360,https://i.scdn.co/image/ab67616d0000b2731fcd19d56ad06561b76c1665,2
unravel,TK from Ling tosite sigure,73,0.536,0.966,6,-2.93,0,0.0557,0.12,0.0,0.0477,0.85,152.078,215707,https://i.scdn.co/image/ab67616d0000b273b11c3ab5cb818192b7a61fdd,2
ブルーバード,Ikimonogakari,80,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311,135747,https://i.scdn.co/image/ab67616d0000b2734ff62a8bad528d3b04d0794e,1
Lucid Dreams,Juice WRLD,82,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.367,130.97,190534,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,2
Experience,Ludovico Einaudi,72,0.868,0.479,4,-6.687,0,0.445,0.703,0.0,0.102,0.776,133.928,115200,https://i.scdn.co/image/ab67616d0000b2736c8ef0538e04f2e28380dcc5,1
